,total_gain,total_income,total_get,total_use,num_bet,num_pass,num_hit,buy_hit_per,total_reward,n_episode
0,11.02100995208255,597.9999999999991,6023.999999999999,5426.0,950.0,1050.0,51.0,5.36842105263158,598.0000000000018,81
0,11.016751071289477,565.6000000000013,5699.600000000001,5134.0,941.0,1059.0,53.0,5.63230605738576,565.5999999999985,82
0,-17.662434652725906,-946.0,4410.0,5356.0,940.0,1060.0,49.0,5.212765957446808,-946.0000000000018,83
0,13.125122765664912,668.2000000000007,5759.200000000001,5091.0,944.0,1056.0,50.0,5.296610169491525,668.2000000000007,84
0,-2.593313284981434,-146.60000000000036,5506.4,5653.0,1004.0,996.0,51.0,5.079681274900398,-146.60000000000036,85
0,31.019976949673463,1614.9000000000005,6820.900000000001,5206.0,927.0,1073.0,65.0,7.011866235167206,1614.9000000000015,86
0,13.258341277407055,695.4000000000005,5940.400000000001,5245.0,939.0,1061.0,53.0,5.644302449414271,695.4000000000015,87
0,7.686623721106443,405.699999999998,5683.699999999998,5278.0,928.0,1072.0,49.0,5.280172413793103,405.70000000000255,88
0,15.076458752515094,749.3000000000002,5719.3,4970.0,883.0,1117.0,51.0,5.775764439411098,749.2999999999975,89
0,12.04488295608435,622.5999999999995,5791.599999999999,5169.0,927.0,1073.0,56.0,6.0409924487594395,622.6000000000004,90
0,20.914374273537348,1079.5999999999985,6241.5999999999985,5162.0,918.0,1082.0,59.0,6.427015250544662,1079.5999999999967,91
0,21.953125,1180.1999999999998,6556.2,5376.0,933.0,1067.0,52.0,5.57341907824223,1180.2000000000025,92
0,14.465496609493414,725.2999999999993,5739.299999999999,5014.0,896.0,1104.0,50.0,5.580357142857143,725.3000000000011,93
0,12.734211028429684,667.3999999999996,5908.4,5241.0,929.0,1071.0,53.0,5.705059203444564,667.3999999999978,94
0,15.209277042942546,839.3999999999996,6358.4,5519.0,979.0,1021.0,58.0,5.9244126659857,839.3999999999978,95
0,28.524302166699215,1461.300000000001,6584.300000000001,5123.0,917.0,1083.0,56.0,6.106870229007633,1461.3000000000065,96
0,1.7050230138082867,85.19999999999982,5082.2,4997.0,917.0,1083.0,48.0,5.2344601962922575,85.20000000000255,97
0,9.610761305094485,503.70000000000164,5744.700000000002,5241.0,928.0,1072.0,53.0,5.711206896551724,503.6999999999989,98
0,0.41459686664120454,21.700000000000728,5255.700000000001,5234.0,937.0,1063.0,50.0,5.3361792956243335,21.69999999999709,99
0,20.282496307237793,1098.499999999999,6514.499999999999,5416.0,972.0,1028.0,57.0,5.864197530864197,1098.4999999999964,100
0,27.566788391312684,1434.2999999999984,6637.299999999998,5203.0,917.0,1083.0,54.0,5.888767720828789,1434.300000000003,101
0,25.458860759493703,1287.2000000000016,6343.200000000002,5056.0,926.0,1074.0,53.0,5.723542116630669,1287.2000000000044,102
0,37.017244646579485,1953.3999999999996,7230.4,5277.0,932.0,1068.0,52.0,5.579399141630901,1953.4000000000015,103
0,1.1962653180315215,61.5,5202.5,5141.0,943.0,1057.0,51.0,5.408271474019088,61.49999999999636,104
0,9.222429906542047,493.39999999999964,5843.4,5350.0,962.0,1038.0,49.0,5.093555093555094,493.40000000000146,105
